CODIGOCIE,ESCOLA,DIRETORIA,MUNICIPIO,SERIE,IDPort,IDMat,IndDesemp,IndFluxo,IDESP,META,ORDEM,_REGICAO_NOME,_ANO,_DIRETORIA_ID,_MUNICIPIO_ID,_ESCOLA_ID,_ERROR_ID,_ERROR_INFOS,error_id,request_data
020540,JOSUE SILVEIRA DE MATTOS PADRE,SAO JOAO DA BOA VISTA,SAO JOAO DA BOA VISTA,9º ANO EF,"2,7563","2,3077","2,53","0,9744","2,47",,2.0,INTERIOR,2021,20413,639,020540,,,,
020540,JOSUE SILVEIRA DE MATTOS PADRE,SAO JOAO DA BOA VISTA,SAO JOAO DA BOA VISTA,3º ANO EM,"1,8797","0,9400","1,41","0,9427","1,33",,3.0,INTERIOR,2021,20413,639,020540,,,,
019252,LAURO DE ARAUJO,SAO JOAO DA BOA VISTA,CASA BRANCA,9º ANO EF,"2,9410","2,9413","2,94","1,0000","2,94",,2.0,INTERIOR,2021,20413,257,019252,,,,
019252,LAURO DE ARAUJO,SAO JOAO DA BOA VISTA,CASA BRANCA,3º ANO EM,"1,6667","0,3333","1,00","1,0000","1,00",,3.0,INTERIOR,2021,20413,257,019252,,,,
020588,JOAQUIM JOSE CORONEL,SAO JOAO DA BOA VISTA,SAO JOAO DA BOA VISTA,9º ANO EF,"3,6420","2,6540","3,15","1,0000","3,15",,2.0,INTERIOR,2021,20413,639,020588,,,,
020588,JOAQUIM JOSE CORONEL,SAO JOAO DA BOA VISTA,SAO JOAO DA BOA VISTA,3º ANO EM,"2,4153","1,5460","1,98","1,0000","1,98",,3.0,INTERIOR,2021,20413,639,020588,,,,
900461,ISAURA TEIXEIRA VASCONCELLOS PROFESSORA,SAO JOAO DA BOA VISTA,SAO JOAO DA BOA VISTA,9º ANO EF,"2,7457","1,8953","2,32","0,9942","2,31",,2.0,INTERIOR,2021,20413,639,900461,,,,
900461,ISAURA TEIXEIRA VASCONCELLOS PROFESSORA,SAO JOAO DA BOA VISTA,SAO JOAO DA BOA VISTA,3º ANO EM,"2,0200","1,1110","1,57","0,9951","1,56",,3.0,INTERIOR,2021,20413,639,900461,,,,
042754,FRANCISCO DIAS PASCHOAL PROFESSOR,SAO JOAO DA BOA VISTA,SAO JOAO DA BOA VISTA,9º ANO EF,"3,0053","1,9127","2,46","1,0000","2,46",,2.0,INTERIOR,2021,20413,639,042754,,,,
042754,FRANCISCO DIAS PASCHOAL PROFESSOR,SAO JOAO DA BOA VISTA,SAO JOAO DA BOA VISTA,3º ANO EM,"1,7023","1,0640","1,38","0,9882","1,36",,3.0,INTERIOR,2021,20413,639,042754,,,,
020709,DOMINGOS THEODORO DE OLIVEIRA AZEVEDO,SAO JOAO DA BOA VISTA,SAO JOAO DA BOA VISTA,9º ANO EF,"4,0257","3,3337","3,68","1,0000","3,68",,2.0,INTERIOR,2021,20413,639,020709,,,,
